case_id,title,concept,severity,difficulty,expected_fault,ai_root_cause,confidence,rule_flags_count,is_agreement
NS-DHCP-003,DHCP Excluded Addresses Missing Gateway IP,DHCP,Critical,Easy,"No 'ip dhcp excluded-address' statement was defined on the router, causing DHCP to offer the router's own interface IP 192.168.10.1 to clients.","No 'ip dhcp excluded-address' statement was defined on the router, causing DHCP to offer the router's own interface IP 192.168.10.1 to clients.",high,1,True
NS-DHCP-004,DHCP Option 3 (Default Gateway) Misconfigured,DHCP,High,Easy,"The DHCP pool has option 3 configured as default-router 10.0.100.254, but the actual router gateway is 10.0.100.1.","The DHCP pool has option 3 configured as default-router 10.0.100.254, but the actual router gateway is 10.0.100.1.",high,0,True
NS-DHCP-005,DHCP Snooping Untrusted Uplink Port,DHCP,High,Hard,"DHCP snooping was enabled on SW2 without trusting the uplink trunk port Gi0/1 connected to the authorized DHCP server, blocking incoming DHCP OFFER and ACK packets.","DHCP snooping was enabled on SW2 without trusting the uplink trunk port Gi0/1 connected to the authorized DHCP server, blocking incoming DHCP OFFER and ACK packets.",high,0,True
NS-DNS-001,Incorrect DNS Server IP Configured on Host,DNS,Medium,Easy,DNS Server IP is mistyped as 172.16.5.35 instead of the valid DNS server IP 172.16.5.53.,DNS Server IP is mistyped as 172.16.5.35 instead of the valid DNS server IP 172.16.5.53.,high,0,True
NS-DNS-002,Missing DNS Domain-Lookup Command on Cisco IOS Router,DNS,Low,Easy,DNS resolution is globally disabled on the router via 'no ip domain-lookup'.,DNS resolution is globally disabled on the router via 'no ip domain-lookup'.,high,0,True
NS-DNS-003,Missing A Record on Authoritative DNS Server,DNS,Medium,Medium,The DNS A-record for hostname 'crm.corp.local' is missing in the corp.local forward lookup zone on the DNS server.,The DNS A-record for hostname 'crm.corp.local' is missing in the corp.local forward lookup zone on the DNS server.,high,0,True
NS-DNS-004,UDP Port 53 Blocked by Perimeter Firewall ACL,DNS,High,Medium,ACL OUTSIDE-IN only permits TCP port 53 and denies UDP port 53 return traffic required for standard DNS queries.,ACL OUTSIDE-IN only permits TCP port 53 and denies UDP port 53 return traffic required for standard DNS queries.,high,1,True
NS-ROUT-001,Missing Default Static Route on Edge Router,Routing,Critical,Easy,"No default static route (ip route 0.0.0.0 0.0.0.0 198.51.100.1) is configured, leaving Gateway of last resort not set.","No default static route (ip route 0.0.0.0 0.0.0.0 198.51.100.1) is configured, leaving Gateway of last resort not set.",high,1,True
NS-ROUT-002,OSPF Area ID Mismatch Preventing Neighbor Adjacency,Routing,High,Medium,OSPF Area mismatch on interconnect link: R1 is in Area 0 while R2 is in Area 1.,OSPF Area mismatch on interconnect link: R1 is in Area 0 while R2 is in Area 1.,high,1,True
NS-ROUT-003,OSPF MTU Mismatch Stuck in EXSTART/EXCHANGE State,Routing,High,Hard,"MTU mismatch on link (1500 bytes on R1 vs 1400 bytes on R3) causes OSPF Database Description (DBD) packets to be dropped, stalling state in EXSTART.","MTU mismatch on link (1500 bytes on R1 vs 1400 bytes on R3) causes OSPF Database Description (DBD) packets to be dropped, stalling state in EXSTART.",high,1,True
NS-ROUT-004,Static Route Next-Hop Unreachable / Recursive Failure,Routing,High,Medium,Static route next-hop 172.16.2.2 is unreachable because the directly connected transit network is 172.16.1.0/30 (R2 is at 172.16.1.2).,Static route next-hop 172.16.2.2 is unreachable because the directly connected transit network is 172.16.1.0/30 (R2 is at 172.16.1.2).,high,1,True
NS-ROUT-005,Passive Interface Configured on Active Routing Link,Routing,High,Easy,"Interface Gi0/0 is erroneously configured as passive-interface, suppressing OSPF Hello packet transmission on the router-to-router link.","Interface Gi0/0 is erroneously configured as passive-interface, suppressing OSPF Hello packet transmission on the router-to-router link.",high,0,True
NS-ROUT-006,Asymmetric Routing Causing TCP Connection Reset,Routing,Critical,Hard,"Asymmetric routing path causes return TCP SYN-ACK traffic to bypass the stateful firewall FW1, resulting in TCP teardown.","Asymmetric routing path causes return TCP SYN-ACK traffic to bypass the stateful firewall FW1, resulting in TCP teardown.",high,0,True
NS-ACL-001,VLAN 30 PC Cannot Reach Server Due to Implicit Deny,ACL,High,Medium,Outbound ACL 'BLOCK-OLD' on Gi0/0.10 only permits 192.168.20.0/24; VLAN 30 (192.168.30.0/24) traffic is dropped by the implicit deny any.,Outbound ACL 'BLOCK-OLD' on Gi0/0.10 only permits 192.168.20.0/24; VLAN 30 (192.168.30.0/24) traffic is dropped by the implicit deny any.,high,1,True
NS-ACL-002,Inverted Wildcard Mask in Extended ACL,ACL,High,Easy,The wildcard mask in ACL rule 10 was entered as a subnet mask '255.255.255.0' instead of Cisco inverse wildcard mask '0.0.0.255'.,The wildcard mask in ACL rule 10 was entered as a subnet mask '255.255.255.0' instead of Cisco inverse wildcard mask '0.0.0.255'.,high,2,True
NS-ACL-003,ACL Applied in Wrong Direction (Outbound vs Inbound),ACL,High,Medium,ACL 'MGMT-FILTER' is applied with 'out' keyword on Gi0/0 instead of 'in'. It filters traffic exiting the interface toward the Admin PC rather than ingress traffic.,ACL 'MGMT-FILTER' is applied with 'out' keyword on Gi0/0 instead of 'in'. It filters traffic exiting the interface toward the Admin PC rather than ingress traffic.,high,1,True
NS-ACL-004,Standard ACL Placed Too Close to Source,ACL,Medium,Medium,"Standard ACL 10 (which filters only by source IP) was placed inbound near the source on Gi0/0, blocking Host A from all destinations instead of specifically the Payroll subnet.","Standard ACL 10 (which filters only by source IP) was placed inbound near the source on Gi0/0, blocking Host A from all destinations instead of specifically the Payroll subnet.",high,0,True
NS-ACL-005,Missing Established Keyword in Return Traffic ACL,ACL,Critical,Hard,"Inbound ACL on WAN interface has no 'permit tcp any 192.168.1.0 0.0.0.255 established' rule, causing all return TCP packets for client web sessions to be dropped.","Inbound ACL on WAN interface has no 'permit tcp any 192.168.1.0 0.0.0.255 established' rule, causing all return TCP packets for client web sessions to be dropped.",high,2,True
NS-NAT-001,Missing IP NAT Inside/Outside Interface Configuration,NAT,Critical,Easy,"WAN interface GigabitEthernet0/1 is missing the 'ip nat outside' command, preventing NAT translation evaluation.","WAN interface GigabitEthernet0/1 is missing the 'ip nat outside' command, preventing NAT translation evaluation.",high,1,True
NS-NAT-002,NAT Overload (PAT) Keyword Omitted,NAT,High,Medium,"The 'overload' keyword was omitted from the 'ip nat inside source list 1 interface Gi0/1' statement, creating a 1-to-1 dynamic NAT mapping that exhausts the single public IP.","The 'overload' keyword was omitted from the 'ip nat inside source list 1 interface Gi0/1' statement, creating a 1-to-1 dynamic NAT mapping that exhausts the single public IP.",high,1,True
NS-NAT-003,NAT Source ACL Does Not Match New Subnet,NAT,High,Easy,Standard ACL 1 used for NAT only permits subnet 192.168.10.0/24; subnet 192.168.20.0/24 is not permitted in the NAT ACL.,Standard ACL 1 used for NAT only permits subnet 192.168.10.0/24; subnet 192.168.20.0/24 is not permitted in the NAT ACL.,high,0,True
NS-NAT-004,Static NAT Port Forwarding Wrong Inside IP,NAT,Critical,Easy,Static NAT port forwarding statement has a typo in the internal private IP (configured as 192.168.1.180 instead of real server IP 192.168.1.80).,Static NAT port forwarding statement has a typo in the internal private IP (configured as 192.168.1.180 instead of real server IP 192.168.1.80).,high,0,True
NS-WLAN-001,WPA2-PSK Key Mismatch on Wireless Client,Wireless,Medium,Easy,Preshared key mismatch on wireless client due to case-sensitivity ('Ciscosecure2026!' vs AP key 'CiscoSecure2026!').,Preshared key mismatch on wireless client due to case-sensitivity ('Ciscosecure2026!' vs AP key 'CiscoSecure2026!').,high,0,True
NS-WLAN-002,AP Ethernet Port Configured as Access Instead of Trunk,Wireless,High,Medium,Switch port Fa0/24 connected to multi-SSID Access Point is configured as an access port in VLAN 10 rather than an 802.1Q trunk port carrying both VLAN 10 and VLAN 20.,Switch port Fa0/24 connected to multi-SSID Access Point is configured as an access port in VLAN 10 rather than an 802.1Q trunk port carrying both VLAN 10 and VLAN 20.,high,0,True
NS-WLAN-003,Wireless Client Band / Channel Mismatch (5GHz 802.11ac),Wireless,High,Medium,"The 2.4GHz radio (Dot11Radio 0) is administratively shutdown on the AP, leaving only the 5GHz radio active which the legacy 2.4GHz client cannot detect.","The 2.4GHz radio (Dot11Radio 0) is administratively shutdown on the AP, leaving only the 5GHz radio active which the legacy 2.4GHz client cannot detect.",high,0,True
NS-TRUNK-001,Native VLAN Mismatch on 802.1Q Trunk Link,Trunking,Medium,Easy,Native VLAN mismatch across the trunk link: SW1 has Native VLAN 1 while SW2 has Native VLAN 99.,Native VLAN mismatch across the trunk link: SW1 has Native VLAN 1 while SW2 has Native VLAN 99.,high,1,True
NS-TRUNK-002,Required VLAN Not in Trunk Allowed List,Trunking,High,Medium,"Trunk interface Gi0/1 on SW1 restricts allowed VLANs to '1-40', pruning/blocking VLAN 50 traffic from traversing the trunk.","Trunk interface Gi0/1 on SW1 restricts allowed VLANs to '1-40', pruning/blocking VLAN 50 traffic from traversing the trunk.",high,0,True
NS-INT-001,Interface Administratively Shutdown,Interface,Critical,Easy,Interface GigabitEthernet0/1 has the 'shutdown' command active in its configuration.,Interface GigabitEthernet0/1 has the 'shutdown' command active in its configuration.,high,1,True
NS-INT-002,Duplex Mismatch (Full Duplex vs Half Duplex),Interface,Medium,Medium,"Duplex mismatch: SW1 Fa0/24 is hardcoded to Full-Duplex while R1 Fa0/0 is hardcoded to Half-Duplex, causing collisions and frame drops under load.","Duplex mismatch: SW1 Fa0/24 is hardcoded to Full-Duplex while R1 Fa0/0 is hardcoded to Half-Duplex, causing collisions and frame drops under load.",high,1,True
