case_id,title,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,difficulty,expected_next_command,expected_fix,verification_method,tags
NS-DNS-001,Incorrect DNS Server IP Configured on Host,"Users can ping external server IP 8.8.8.8 and internal server IP 172.16.5.10, but typing 'web.company.local' in browser fails with name resolution error.",Host PC-1 -> SW1 -> R1 -> Internal DNS Server (172.16.5.53),"PC-1> ipconfig /all
FastEthernet0 Connection:
 IP Address......................: 172.16.10.15
 Subnet Mask.....................: 255.255.255.0
 Default Gateway.................: 172.16.10.1
 DNS Server......................: 172.16.5.35

PC-1> nslookup web.company.local
DNS request timed out.
 timeout was 2 seconds.
*** Can't find server name for address 172.16.5.35: Timed out

PC-1> ping 172.16.5.53
Pinging 172.16.5.53 with 32 bytes of data:
Reply from 172.16.5.53: bytes=32 time=2ms TTL=126",DNS Server IP is mistyped as 172.16.5.35 instead of the valid DNS server IP 172.16.5.53.,Layer 7 (Application / DNS),DNS,Medium,Easy,nslookup web.company.local 172.16.5.53,Update host / DHCP scope DNS server setting to 172.16.5.53,nslookup web.company.local returns 172.16.5.10 successfully,dns;name-resolution;nslookup;host-config;typo
NS-DNS-002,Missing DNS Domain-Lookup Command on Cisco IOS Router,Network administrator cannot ping domain names (e.g. 'ping time.nist.gov') from router CLI prompt.,Router R1 (WAN Gi0/0) -> ISP Gateway 203.0.113.1,"R1# ping time.nist.gov
Translating ""time.nist.gov""...domain server (8.8.8.8)
% Unrecognized host or address, or protocol not running.

R1# show running-config | include ip name-server|ip domain
no ip domain-lookup
ip name-server 8.8.8.8",DNS resolution is globally disabled on the router via 'no ip domain-lookup'.,Layer 7 (Application / DNS),DNS,Low,Easy,show running-config | include domain,R1(config)# ip domain lookup,ping time.nist.gov resolves and replies from R1,dns;domain-lookup;ios;name-server
NS-DNS-003,Missing A Record on Authoritative DNS Server,"Clients can resolve 'portal.corp.local' and 'mail.corp.local', but 'crm.corp.local' returns NXDOMAIN (Non-Existent Domain).",Clients -> DNS Server (10.0.0.53) -> CRM Server (10.0.20.80),"Client> nslookup crm.corp.local
Server: dc1.corp.local
Address: 10.0.0.53

*** dc1.corp.local can't find crm.corp.local: Non-existent domain

Client> ping 10.0.20.80
Reply from 10.0.20.80: bytes=32 time=3ms TTL=62",The DNS A-record for hostname 'crm.corp.local' is missing in the corp.local forward lookup zone on the DNS server.,Layer 7 (Application / DNS),DNS,Medium,Medium,nslookup crm.corp.local 10.0.0.53,Add Host (A) record 'crm' pointing to 10.0.20.80 in zone corp.local on DNS Server.,nslookup crm.corp.local returns 10.0.20.80,dns;a-record;zone;nxdomain;server
NS-DNS-004,UDP Port 53 Blocked by Perimeter Firewall ACL,"Internal hosts can resolve local internal hostnames via 10.0.0.53, but public internet FQDN resolution (e.g. google.com) fails.",Internal DNS (10.0.0.53) -> Router R1 (ACL OUTSIDE-IN) -> Public DNS (1.1.1.1),"R1# show access-lists OUTSIDE-IN
Extended IP access list OUTSIDE-IN
 10 permit tcp any host 10.0.0.53 eq domain
 20 permit icmp any any echo-reply
 30 deny ip any any (1420 matches)

R1# show ip nat translations | include :53
udp 203.0.113.5:53342 10.0.0.53:53342 1.1.1.1:53 1.1.1.1:53",ACL OUTSIDE-IN only permits TCP port 53 and denies UDP port 53 return traffic required for standard DNS queries.,Layer 4/7 (Transport / DNS),DNS,High,Medium,show access-lists OUTSIDE-IN,"R1(config)# ip access-list extended OUTSIDE-IN
R1(config-ext-nacl)# 15 permit udp any host 10.0.0.53 eq domain
R1(config-ext-nacl)# exit",nslookup cisco.com from client resolves successfully,dns;udp53;acl;firewall;transport
NS-ROUT-001,Missing Default Static Route on Edge Router,"Branch office PCs can reach local subnets and HQ over VPN, but cannot reach any internet websites (e.g. 8.8.8.8 or 208.67.222.222).",Branch PCs -> R-Branch (Gi0/0) -> (Gi0/1 WAN: 198.51.100.2) <---> (198.51.100.1) ISP Router,"R-Branch# show ip route
Gateway of last resort is not set
 10.0.0.0/8 is variably subnetted, 2 subnets, 2 masks
C 10.5.10.0/24 is directly connected, GigabitEthernet0/0
L 10.5.10.1/32 is directly connected, GigabitEthernet0/0
 198.51.100.0/30 is subnetted, 2 subnets
C 198.51.100.0/30 is directly connected, GigabitEthernet0/1
L 198.51.100.2/32 is directly connected, GigabitEthernet0/1

R-Branch# ping 8.8.8.8
Success rate is 0 percent (0/5)","No default static route (ip route 0.0.0.0 0.0.0.0 198.51.100.1) is configured, leaving Gateway of last resort not set.",Layer 3 (Network),Routing,Critical,Easy,show ip route,R-Branch(config)# ip route 0.0.0.0 0.0.0.0 198.51.100.1,show ip route shows 'Gateway of last resort is 198.51.100.1'; ping 8.8.8.8 succeeds (5/5),routing;default-route;static-route;gateway-of-last-resort;internet
NS-ROUT-002,OSPF Area ID Mismatch Preventing Neighbor Adjacency,"Routers R1 and R2 are directly connected via Gi0/0/0, but OSPF neighbor adjacency is not forming and routes are not exchanged.",R1 (Gi0/0/0: 10.1.12.1/30) <---> (Gi0/0/0: 10.1.12.2/30) R2,"R1# show ip ospf neighbor
(blank output - no neighbors)

R1# show ip ospf interface GigabitEthernet0/0/0
GigabitEthernet0/0/0 is up, line protocol is up
 Internet Address 10.1.12.1/30, Area 0, Attached via Interface Enable
 Process ID 1, Router ID 1.1.1.1, Network Type BROADCAST, Cost: 1

R2# show ip ospf interface GigabitEthernet0/0/0
GigabitEthernet0/0/0 is up, line protocol is up
 Internet Address 10.1.12.2/30, Area 1, Attached via Interface Enable
 Process ID 1, Router ID 2.2.2.2, Network Type BROADCAST, Cost: 1",OSPF Area mismatch on interconnect link: R1 is in Area 0 while R2 is in Area 1.,Layer 3 (Network),Routing,High,Medium,show ip ospf interface Gi0/0/0 on both routers,"R2(config)# router ospf 1
R2(config-router)# no network 10.1.12.0 0.0.0.3 area 1
R2(config-router)# network 10.1.12.0 0.0.0.3 area 0",show ip ospf neighbor shows state FULL/BDR; show ip route shows O routes,routing;ospf;area-mismatch;neighbor-adjacency;layer3
NS-ROUT-003,OSPF MTU Mismatch Stuck in EXSTART/EXCHANGE State,OSPF adjacency between R1 and R3 is stuck in EXSTART state and routing table never populates remote subnets.,R1 (Gi0/1 MTU 1500) <---> R3 (Gi0/1 MTU 1400),"R1# show ip ospf neighbor
Neighbor ID Pri State Dead Time Address Interface
3.3.3.3 1 EXSTART/DR 00:00:36 10.1.13.2 GigabitEthernet0/1

R1# show interfaces GigabitEthernet0/1 | include MTU
 MTU 1500 bytes, BW 1000000 Kbit/sec, DLY 10 usec

R3# show interfaces GigabitEthernet0/1 | include MTU
 MTU 1400 bytes, BW 1000000 Kbit/sec, DLY 10 usec

R1# show log | include OSPF
%OSPF-5-ADJCHG: Process 1, Nbr 3.3.3.3 on GigabitEthernet0/1 from LOADING to FULL, Bad Length in DBD","MTU mismatch on link (1500 bytes on R1 vs 1400 bytes on R3) causes OSPF Database Description (DBD) packets to be dropped, stalling state in EXSTART.",Layer 3 (Network),Routing,High,Hard,show interfaces Gi0/1 | include MTU,"R3(config)# interface GigabitEthernet0/1
R3(config-if)# ip mtu 1500
R3(config-if)# exit",show ip ospf neighbor shows FULL/DR state,routing;ospf;mtu-mismatch;exstart;dbd-packet
NS-ROUT-004,Static Route Next-Hop Unreachable / Recursive Failure,Host in 192.168.1.0/24 cannot ping Server in 10.50.0.0/16 despite static route configured on Router R1.,Client -> R1 (Gi0/0 192.168.1.1/24) -- R1 (Gi0/1 172.16.1.1/30) <---> R2,"R1# show ip route static
Gateway of last resort is not set
S 10.50.0.0/16 [1/0] via 172.16.2.2

R1# show ip route 172.16.2.2
% Network not in table

R1# show ip interface brief | include GigabitEthernet
GigabitEthernet0/0 192.168.1.1 YES manual up up
GigabitEthernet0/1 172.16.1.1 YES manual up up",Static route next-hop 172.16.2.2 is unreachable because the directly connected transit network is 172.16.1.0/30 (R2 is at 172.16.1.2).,Layer 3 (Network),Routing,High,Medium,show ip route 172.16.2.2; show ip interface brief,"R1(config)# no ip route 10.50.0.0 255.255.0.0 172.16.2.2
R1(config)# ip route 10.50.0.0 255.255.0.0 172.16.1.2",show ip route shows 10.50.0.0/16 via 172.16.1.2 active in RIB; ping 10.50.0.10 succeeds,routing;static-route;next-hop;recursive-routing;unreachable
NS-ROUT-005,Passive Interface Configured on Active Routing Link,Branch router R-Branch does not form OSPF adjacency with Distribution router R-Dist over link Gi0/0.,R-Branch (Gi0/0) <---> (Gi0/0) R-Dist,"R-Dist# show ip ospf neighbor
(blank output)

R-Branch# show running-config | section router ospf
router ospf 1
 router-id 10.99.99.1
 passive-interface GigabitEthernet0/0
 network 10.0.12.0 0.0.0.3 area 0
 network 10.10.0.0 0.0.255.255 area 0

R-Branch# show ip ospf interface GigabitEthernet0/0
GigabitEthernet0/0 is up, line protocol is up
 Internet Address 10.0.12.1/30, Area 0
 Process ID 1, Router ID 10.99.99.1, Network Type BROADCAST, Cost: 1
 No Hellos (Passive interface)","Interface Gi0/0 is erroneously configured as passive-interface, suppressing OSPF Hello packet transmission on the router-to-router link.",Layer 3 (Network),Routing,High,Easy,show ip ospf interface Gi0/0,"R-Branch(config)# router ospf 1
R-Branch(config-router)# no passive-interface GigabitEthernet0/0",show ip ospf neighbor shows FULL state; Hello packets sent out Gi0/0,routing;ospf;passive-interface;hello-packets;adjacency
NS-ROUT-006,Asymmetric Routing Causing TCP Connection Reset,"Ping succeeds between Host A (10.1.1.50) and Host B (10.2.2.50), but SSH/HTTP TCP connections freeze or reset immediately.",Host A -> R1 -> Firewall FW1 -> R2 -> Host B | Return path: Host B -> R2 -> R3 -> R1 (bypassing stateful FW1),"R2# show ip route 10.1.1.0
Routing entry for 10.1.1.0/24
 Known via ""ospf 1"", distance 110, metric 20, type intra area
 * 10.3.3.1 (via GigabitEthernet0/2 towards R3)

R1# show ip route 10.2.2.0
Routing entry for 10.2.2.0/24
 Known via ""ospf 1"", distance 110, metric 20, type intra area
 * 10.12.1.2 (via GigabitEthernet0/1 towards Firewall FW1)

FW1# show log | include TCP-DROP
%ASA-6-106015: Deny TCP (no connection) from 10.1.1.50/49152 to 10.2.2.50/22 on interface INSIDE","Asymmetric routing path causes return TCP SYN-ACK traffic to bypass the stateful firewall FW1, resulting in TCP teardown.",Layer 3/4 (Network / Transport),Routing,Critical,Hard,traceroute from both directions; show ip route on R1 and R2,Adjust OSPF interface cost on R2 Gi0/2 so symmetric path through Firewall link Gi0/1 is preferred in both directions.,SSH from Host A to Host B connects cleanly; traceroute is symmetric,routing;asymmetric-routing;firewall;stateful;tcp-reset
NS-ACL-001,VLAN 30 PC Cannot Reach Server Due to Implicit Deny,"PC in VLAN 30 has an IP address and can ping its default gateway 192.168.30.1, but cannot reach server 192.168.10.50 in VLAN 10.",PC-30 (192.168.30.15) -> SW1 -> Router R1 -> Server-10 (192.168.10.50),"R1# show ip route 192.168.10.50
Routing entry for 192.168.10.0/24
 Known via ""connected"", distance 0, metric 0 (connected)
 * directly connected, via GigabitEthernet0/0.10

R1# show access-lists
Standard IP access list BLOCK-OLD
 10 permit 192.168.20.0, wildcard bits 0.0.0.255 (42 matches)
 (implicit deny any matches: 128)

R1# show running-config interface GigabitEthernet0/0.10
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.1 255.255.255.0
 ip access-group BLOCK-OLD out
!",Outbound ACL 'BLOCK-OLD' on Gi0/0.10 only permits 192.168.20.0/24; VLAN 30 (192.168.30.0/24) traffic is dropped by the implicit deny any.,Layer 3/4 (Network / Transport),ACL,High,Medium,show access-lists; show running-config interface Gi0/0.10,"R1(config)# ip access-list standard BLOCK-OLD
R1(config-std-nacl)# 20 permit 192.168.30.0 0.0.0.255
R1(config-std-nacl)# exit",ping 192.168.10.50 from PC-30 (success rate 100 percent),acl;access-list;implicit-deny;inter-vlan;packet-filtering
