case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept,severity,dataset_status
CASE-023,DHCP pool exhausted for VLAN 10 scope 192.168.10.0/28,Scope provides 14 usable addresses. 14 leases active. New client cannot get IP,show ip dhcp binding shows 14 active bindings. show ip dhcp pool VLAN10 shows 0 available addresses.,DHCP IP address pool exhaustion,Layer 7,DHCP,Medium,SAMPLE
CASE-024,DNS resolution fails because DNS server IP is not reachable from host,Host IP 192.168.1.10/24 gateway 192.168.1.1. DNS IP set to 10.10.10.5. No route to 10.10.10.0/24,traceroute 10.10.10.5 fails at gateway 192.168.1.1. show ip route on router shows no route to 10.10.10.0/24.,Unreachable DNS server destination due to missing routing,Layer 3,DNS,High,SAMPLE
CASE-025,Router R1 static route pointing to wrong next-hop IP address,Static route configured: ip route 10.2.2.0 255.255.255.0 10.0.0.5. Next hop IP should be 10.0.0.2,show ip route shows 10.2.2.0/24 via 10.0.0.5. ARP lookup for 10.0.0.5 incomplete.,Incorrect static route next-hop address,Layer 3,Routing,High,SAMPLE
CASE-026,OSPF Network Type mismatch on point-to-point link between R1 and R2,R1 Gi0/0 set to ip ospf network point-to-point. R2 Gi0/0 set to broadcast default,R1 show ip ospf interface Gi0/0 shows Point-to-Point. R2 show ip ospf interface Gi0/0 shows Broadcast.,OSPF network type mismatch preventing full convergence,Layer 3,Routing,Medium,SAMPLE
CASE-027,Extended ACL blocking ping ICMP traffic from Admin VLAN to Server VLAN,ACL 105 applied inbound on subinterface Gi0/0.10 denies ICMP echoes,access-list 105 deny icmp 192.168.10.0 0.0.0.255 192.168.100.0 0.0.0.255. access-list 105 permit ip any any.,ACL rule blocking ICMP echo request,Layer 4,ACL,Low,SAMPLE
CASE-028,Static NAT translation mapping incorrect internal IP address to public IP,ip nat inside source static 192.168.1.99 203.0.113.10 configured. Real server IP is 192.168.1.100,show ip nat translations shows 203.0.113.10 mapped to 192.168.1.99 instead of .100.,Static NAT internal IP address mismatch,Layer 3,NAT,High,SAMPLE
CASE-029,Wireless Clients on 5GHz band unable to see SSID broadcast,WAP 5GHz radio disabled in configuration. Only 2.4GHz radio enabled,WAP configuration shows radio 5GHz state disabled. SSID broadcast 5GHz off.,WAP 5GHz radio interface disabled,Layer 1,Wireless,Low,SAMPLE
CASE-030,Wireless AP DHCP IP allocation failing due to untagged VLAN management mismatch,WAP connected to switch port Fa0/12 set to access vlan 1. WAP expects untagged management on VLAN 100,Switch Fa0/12 configuration shows switchport access vlan 1. WAP management interface set to VLAN 100.,Switchport VLAN mismatch for WAP management interface,Layer 2,Wireless,High,SAMPLE
CASE-031,Switch STP Blocking port causing asymmetry on primary VLAN link,Spanning Tree Protocol elected SW2 as Root Bridge for VLAN 20 instead of SW1,show spanning-tree vlan 20 shows SW2 is root. Port Fa0/1 on SW1 is in ALT/BLK state.,STP root bridge misconfiguration causing blocked link path,Layer 2,VLAN,Medium,SAMPLE
CASE-032,Router HSRP Active/Standby state flapping due to priority mismatch,"R1 priority 100 default, R2 priority 100 default. Preempt enabled on both",show standby brief shows both routers transitioning between Active and Speak/Standby state.,HSRP priority conflict and timer mismatch causing gateway flapping,Layer 3,Gateway,High,SAMPLE
